node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,community_leiden,views,partner,mature,days,clustering_coef
7787,4259,0.44845740760240077,0.6271544608069736,0.2912420795688321,0.2497644207761394,1,54516100,True,False,3056,0.006552587061510722
9206,1825,0.1921659471412025,0.5222436073687104,0.079772669160266,0.10309068957691578,1,70620803,True,False,1884,0.007239245373708243
2684,1716,0.18068863851742656,0.5217271878261825,0.04178479501587985,0.1348308622051044,1,16374430,True,True,2752,0.015867126071207705
1638,1433,0.15088975465936613,0.5067228684238608,0.031057721186828095,0.12074039754481007,0,15299339,True,True,2230,0.019354247642364535
2914,1357,0.1428872275455407,0.5066958331110282,0.026993547859973124,0.12009983199706846,1,2678695,True,False,1506,0.019983783419524677
2816,1333,0.14036011372012216,0.5053477358590964,0.02013164490443085,0.13221767768651935,6,14454745,True,False,2053,0.027519267204188434
8803,1324,0.1394124460355902,0.49453238908560715,0.022440265501421475,0.11263085059956736,6,8753527,True,True,1946,0.01898664803282844
5893,1257,0.13235758660629673,0.5057783458486447,0.017624633967110975,0.13826156770420273,6,4445133,True,True,1549,0.0343541137781291
4927,1246,0.1311993261029799,0.5032056376834632,0.018955505322993314,0.1263761412568661,6,15488218,True,True,1857,0.02829552560160385
8262,1125,0.11845846056649469,0.4802528445006321,0.017746973893050987,0.09713655546441567,0,7826793,True,True,1958,0.021834717279557138
6652,1020,0.10740233758028851,0.48657649349318577,0.010321565738123793,0.1074767554009835,6,6541485,True,True,1477,0.03149762358329004
2145,1017,0.1070864483521112,0.4867510635026395,0.014630342338882149,0.07830146993458711,1,14475068,True,False,2727,0.013444668973900386
7275,987,0.103927556070338,0.4763743980738363,0.008962604943549838,0.07481666440491552,1,1236343,True,True,2232,0.015512000838486532
9057,974,0.1025587027482363,0.48885571627116897,0.010019759864516,0.11198733094187643,5,8293504,True,True,2396,0.039314045976477835
8753,951,0.10013688533221017,0.46734904778308156,0.019576442504010423,0.05092422660495711,4,100394785,True,False,2065,0.010121202058774696
2498,932,0.09813625355375383,0.47063779176371473,0.014560186509561018,0.06340286806970521,0,28609290,True,False,2186,0.012919330822457739
4038,930,0.09792566073496894,0.49235315464772667,0.012690629672756571,0.10324387287459984,5,5940739,True,False,2209,0.038605507135664435
2980,893,0.09402969358744867,0.4649238752631321,0.012838092974696007,0.07822427277456506,6,3075489,False,True,1307,0.020086472263092615
1276,886,0.0932926187217016,0.4787276943240246,0.00800800927181078,0.0916194293422852,6,8108876,True,True,2394,0.034076851462167296
3173,825,0.08686953774876277,0.4873505413865654,0.00748189038013705,0.09605917957410041,1,2626579,True,True,1994,0.0405648720211827
8810,810,0.08529009160787618,0.479816096599808,0.010352447524317982,0.07709294521276151,0,4478484,True,True,1262,0.030264463062155685
7720,760,0.0800252711382542,0.44413786652948606,0.010877695117994496,0.050398088042854415,3,3578881,True,False,1794,0.011164274322169059
4139,734,0.07728756449405076,0.4684093711467324,0.005530248557528056,0.07932008415998482,6,3646452,True,True,1575,0.03975302125191907
8287,723,0.07612930399073392,0.4756109775641026,0.005969124696776681,0.0934736888270452,5,1442119,True,True,1628,0.062175530549457285
7913,670,0.07054859429293461,0.45043634983874026,0.00767267309288597,0.05894998298127498,3,5448573,True,False,2451,0.024429422394752695
1901,648,0.06823207328630095,0.4648556045031816,0.006189275156661174,0.0756854116612042,6,7948843,True,True,1762,0.0465777472475051
8700,646,0.06802148046751606,0.47418613940483323,0.0068490528923878585,0.07113654558049738,5,3884288,True,False,1920,0.04024767801857585
8614,645,0.06791618405812362,0.4712683604605002,0.009610459526938961,0.053885323727102016,0,13466529,True,False,1805,0.029438104867831865
9227,643,0.06770559123933874,0.44549207242705696,0.003492492633103817,0.06873939881013089,6,1858780,False,True,2342,0.031724345091883356
4912,586,0.06170369590396968,0.47428086296444266,0.008383064002344615,0.050185075329566085,2,5848441,True,True,2380,0.026860359966162015
7286,581,0.06117721385700748,0.46072866637558824,0.0034793823526821405,0.04345939638377716,1,1252170,True,False,2193,0.021894474449522226
6989,573,0.06033484258186796,0.4735005235080022,0.003931094942437096,0.08035783852858985,5,2107498,True,True,1676,0.07301773270359657
5358,546,0.05749183952827209,0.46347176809330926,0.00722462171756771,0.04090670676188547,1,2638320,True,False,1683,0.017044728971334477
8301,546,0.05749183952827209,0.464946636639577,0.00392813161793298,0.07274414169391234,5,1437288,True,True,934,0.06294317303491616
3032,540,0.05686006107191745,0.44780271595624294,0.0025065608833777036,0.042809112407366644,1,1424650,True,True,1751,0.022586408300694014
4042,540,0.05686006107191745,0.45403260505808674,0.005966623773061705,0.037568230718810484,0,13583296,True,False,2099,0.02343159486016629
7900,516,0.0543329472464989,0.4644464006259781,0.004084784477830712,0.061759870696083415,0,2035347,True,True,993,0.054767818168134266
721,514,0.05412235442771402,0.46654549027313813,0.0032015231505247597,0.06602614241409949,0,3441835,True,True,2455,0.06108115078010634
4008,500,0.052648204696219864,0.4659274885934357,0.003984397988631825,0.059435821835971805,5,1738128,True,True,2218,0.050468937875751504
5388,491,0.051700537011687905,0.4696602541911874,0.0035472721678307044,0.07147139205923726,5,2550221,True,True,1485,0.0814747080094767
2839,490,0.051595240602295464,0.46714215445154944,0.00357518546438964,0.05864774469490526,5,2100963,True,True,2086,0.04942197737990902
3234,488,0.05138464778351059,0.43474479285877776,0.006209746064434041,0.03824535157387164,0,20685319,True,True,2136,0.01996162520618036
6041,474,0.04991049805201643,0.45466296438146303,0.004868509688505934,0.0414347276039171,1,224569,True,True,1418,0.022372681778039447
2452,473,0.04980520164262399,0.4388023841426789,0.005572541220992726,0.03007138570631581,1,27149993,True,False,1453,0.012407281327265561
7802,468,0.04927871959566179,0.4740914536741214,0.005186702422223147,0.0635231138191006,5,7737728,True,True,2237,0.07072786837240799
8992,466,0.049068126776876914,0.46326829268292685,0.0035640426939724432,0.05641876692498819,3,3574370,True,True,2244,0.054972541418616454
9354,450,0.04738338422659787,0.4318781264211005,0.00398614223102614,0.035208302774006155,0,3191790,True,True,1011,0.021123484286067806
2425,436,0.04590923449510372,0.4596805421103582,0.002598118190846392,0.05638579166345484,5,2074856,True,True,2072,0.061805335864178
82,435,0.04580393808571128,0.47632661249874614,0.004779251913183235,0.05874446340163532,6,292778,False,True,1516,0.06781079506329785
1771,432,0.045488048857533964,0.4671191776105455,0.003782601735008305,0.05731853625333486,5,2135227,True,True,1572,0.0682950932370886
7278,429,0.04517215962935664,0.45318763122733347,0.001263943762169328,0.05690625173648187,6,1014495,True,True,925,0.07219571705553014
2813,423,0.044540381173002005,0.4698228950232512,0.0020074189704011405,0.06592896768057355,5,1510809,True,True,1739,0.10131872318017321
7216,420,0.04422449194482468,0.4146980481201694,0.0035633357652687207,0.026780350345667916,0,10154651,True,False,1715,0.018922604841459256
4298,413,0.043487417079077606,0.46335870413739266,0.002407694789954419,0.0575729938068617,5,2486448,True,True,1916,0.06924234232116411
3115,412,0.043382120669685165,0.4685249136655155,0.003660083276413123,0.0516881650498276,0,2310383,True,True,2141,0.06243356246899582
7685,410,0.04317152785090029,0.4659732103429665,0.003030026973166267,0.05210463011634603,4,2655757,True,True,1906,0.05606774405152364
8782,408,0.042960935032115406,0.4634491508881515,0.003417117328500877,0.04305903070876607,0,5452518,True,True,2394,0.042708483884954476
7797,404,0.04253974939454565,0.4614001846183744,0.0017840559173433845,0.05946240389797273,5,1740910,True,True,1524,0.08702061273124831
430,396,0.04169737811940613,0.4399203261070965,0.006019250572578831,0.02530533572443706,2,16380941,False,True,1529,0.024626006904487917
5342,387,0.04074971043487417,0.43638285162891144,0.002281718313041732,0.027330226083657583,1,6407825,True,True,2621,0.01664189795289928
7840,384,0.040433821206696856,0.45398919642430324,0.002058344481879694,0.04976073579522495,5,1314272,True,True,1164,0.06969375543951262
7453,375,0.0394861535221649,0.4694281053828283,0.002257986978200537,0.06122067093220839,5,1145655,True,True,885,0.11398217468805705
3828,374,0.039380857112772456,0.4126618579994786,0.0037676215968754484,0.022832310664155028,2,10755911,True,False,2382,0.026264856417829135
5798,374,0.039380857112772456,0.4455965842443579,0.003220213997610492,0.030047033169536008,2,2681760,True,False,2293,0.03416438474000373
1095,372,0.03917026429398758,0.4591693661461103,0.002091949946682315,0.049181848161486214,5,391394,True,True,1495,0.07042865837753239
4957,369,0.03885437506581026,0.4514641566837802,0.0017333442445762574,0.057855916597729984,5,3643410,True,True,1479,0.09604394956993048
2791,359,0.037801410971885864,0.42961187008052115,0.004144615787197654,0.028698513870617535,6,2757,False,False,1231,0.027932960893854747
